x,y,y'
0.183310534,0.069767442,0.15350346
0.183994528,0.023255814,0.15349106
0.184678523,0.395348837,0.15347865
0.185362517,0.209302326,0.15346624
0.186046512,0.162790698,0.15345381
0.186730506,0.093023256,0.15344138
0.187414501,0.093023256,0.15342894
0.188098495,0.093023256,0.1534165
0.18878249,0.139534884,0.15340406
0.189466484,0.162790698,0.1533916
0.190150479,0.209302326,0.15337913
0.190834473,0.162790698,0.15336666
0.191518468,0.139534884,0.15335417
0.192202462,0.069767442,0.15334168
0.192886457,0.023255814,0.1533292
0.193570451,0.139534884,0.15331669
0.194254446,0.465116279,0.15330419
0.19493844,0.023255814,0.15329167
0.195622435,0.23255814,0.15327914
0.19630643,0.023255814,0.15326662
0.196990424,0.069767442,0.15325408
0.197674419,0.162790698,0.15324153
0.198358413,0.255813953,0.15322898
0.199042408,0.23255814,0.15321644
0.199726402,0.162790698,0.15320386
0.200410397,0.139534884,0.1531913
0.201094391,0.046511628,0.15317872
0.201778386,0.209302326,0.15316613
0.20246238,0.093023256,0.15315354
0.203146375,0.139534884,0.15314093
0.203830369,0.279069767,0.15312833
0.204514364,0.046511628,0.15311572
0.205198358,0.093023256,0.1531031
0.205882353,0.093023256,0.15309046
0.206566347,0.046511628,0.15307784
0.207250342,0.093023256,0.15306519
0.207934337,0.069767442,0.15305254
0.208618331,0.023255814,0.15303989
0.209302326,0.023255814,0.15302722
